,grupo,sexo,laguna_cuidados,formacion,experiencia,habilidades,puntuacion,pasa
1,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",85,1
2,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",82,1
3,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",86,1
4,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",92,1
5,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
6,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
7,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",92,1
8,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",87,1
9,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",80,1
10,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",86,1
11,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",80,1
12,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",80,1
13,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
14,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",71,1
15,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",72,1
16,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",79,1
17,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",76,1
18,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
19,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",77,1
20,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",74,1
21,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",91,1
22,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
23,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
24,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",74,1
25,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",79,1
26,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",83,1
27,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",76,1
28,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",85,1
29,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",79,1
30,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
31,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",79,1
32,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",94,1
33,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",82,1
34,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",76,1
35,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",87,1
36,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",75,1
37,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
38,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",71,1
39,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",75,1
40,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
41,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",87,1
42,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
43,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",82,1
44,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
45,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",74,1
46,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",78,1
47,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",80,1
48,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",89,1
49,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",85,1
50,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",72,1
51,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
52,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",80,1
53,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",78,1
54,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",86,1
55,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",89,1
56,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",88,1
57,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",77,1
58,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",81,1
59,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",84,1
60,A,Hombres,No,Grado + Máster,8,"Liderazgo, Python, Lean",88,1
61,B,Mujeres,Si,Grado + Máster,8,"Liderazgo, Python, Lean",62,0
